domain_id,domain_display_name,topic_count
https://openalex.org/domains/4,Health Sciences,844
https://openalex.org/domains/1,Life Sciences,614
https://openalex.org/domains/3,Physical Sciences,1571
https://openalex.org/domains/2,Social Sciences,1487
