field_display_name,domain_display_name,unique_topics,total_works,avg_works_per_topic,total_citations
Engineering,Physical Sciences,560,26348822,47051.46785714286,266187374
Materials Science,Physical Sciences,123,7211294,58628.40650406504,116798988
Chemical Engineering,Physical Sciences,13,709230,54556.153846153844,12000322
