subfield_id,subfield_display_name,field_display_name,domain_display_name,topic_count,total_works
https://openalex.org/subfields/2505,Materials Chemistry,Materials Science,Physical Sciences,69,4368349
https://openalex.org/subfields/2211,Mechanics of Materials,Engineering,Physical Sciences,29,1702081
https://openalex.org/subfields/2504,"Electronic, Optical and Magnetic Materials",Materials Science,Physical Sciences,17,793845
https://openalex.org/subfields/2507,Polymers and Plastics,Materials Science,Physical Sciences,14,695138
https://openalex.org/subfields/2502,Biomaterials,Materials Science,Physical Sciences,13,638717
https://openalex.org/subfields/2500,General Materials Science,Materials Science,Physical Sciences,3,205119
https://openalex.org/subfields/2503,Ceramics and Composites,Materials Science,Physical Sciences,2,185097
